Alberta,2020-04-08,0.02130781785783807
Saskatchewan,2020-04-08,0.017995882860747724
Manitoba,2020-04-08,0.015169194865810968
Ontario,2020-04-08,0.0615614389227915
Quebec,2020-04-08,0.09180012812299808
Newfoundland and Labrador,2020-04-08,0.05610640870616687
New Brunswick,2020-04-08,0.01667438628994905
Nova Scotia,2020-04-08,0.028330019880715707
Prince Edward Island,2020-04-08,0.017817371937639197
Yukon,2020-04-08,0.008816120906801008
Northwest Territories,2020-04-08,0.003996802557953637
Nunavut,2020-04-08,0.0
British Columbia,2020-04-09,0.030339268314288244
Alberta,2020-04-09,0.02130189676434318
Saskatchewan,2020-04-09,0.017311165078772027
Manitoba,2020-04-09,0.015375111538197542
Ontario,2020-04-09,0.06405579160456477
Quebec,2020-04-09,0.09625545803378467
Newfoundland and Labrador,2020-04-09,0.053832116788321165
New Brunswick,2020-04-09,0.015973521369981293
Nova Scotia,2020-04-09,0.028593330778075892
Prince Edward Island,2020-04-09,0.017421602787456445
Yukon,2020-04-09,0.009925558312655087
Northwest Territories,2020-04-09,0.003952569169960474
Nunavut,2020-04-09,0.0
British Columbia,2020-04-10,0.030495717622631716
Alberta,2020-04-10,0.021404109589041095
Saskatchewan,2020-04-10,0.016812175554506842
Manitoba,2020-04-10,0.014307931570762053
Ontario,2020-04-10,0.06616032502041985
Quebec,2020-04-10,0.0987759797660235
Newfoundland and Labrador,2020-04-10,0.05287610619469026
New Brunswick,2020-04-10,0.015344567749006712
Nova Scotia,2020-04-10,0.02932065413154672
Prince Edward Island,2020-04-10,0.017421602787456445
Yukon,2020-04-10,0.009925558312655087
Northwest Territories,2020-04-10,0.0037257824143070045
Nunavut,2020-04-10,0.0
British Columbia,2020-04-11,0.031252703521065836
Alberta,2020-04-11,0.02155841657621017
Saskatchewan,2020-04-11,0.016312937457665388
Manitoba,2020-04-11,0.014981504315659679
Ontario,2020-04-11,0.06794905864796909
Quebec,2020-04-11,0.09984161150144175
Newfoundland and Labrador,2020-04-11,0.05113515807341396
New Brunswick,2020-04-11,0.014933333333333333
Nova Scotia,2020-04-11,0.029494865963751636
Prince Edward Island,2020-04-11,0.01585288522511097
Yukon,2020-04-11,0.0098159509202454
Northwest Territories,2020-04-11,0.0036496350364963502
Nunavut,2020-04-11,0.0
British Columbia,2020-04-12,0.029880066170388752
Alberta,2020-04-12,0.02209907775502282
Saskatchewan,2020-04-12,0.016108978863722364
Manitoba,2020-04-12,0.0141802414156803
Ontario,2020-04-12,0.06727172087341579
Quebec,2020-04-12,0.10133232363868708
Newfoundland and Labrador,2020-04-12,0.05029093931837074
New Brunswick,2020-04-12,0.014690721649484536
Nova Scotia,2020-04-12,0.02902994324483006
Prince Edward Island,2020-04-12,0.015197568389057751
Yukon,2020-04-12,0.0098159509202454
Northwest Territories,2020-04-12,0.0036075036075036075
Nunavut,2020-04-12,0.0
British Columbia,2020-04-13,0.03018027141989062
Alberta,2020-04-13,0.02249146181515966
Saskatchewan,2020-04-13,0.01579362990260595
Manitoba,2020-04-13,0.014369998247561189
Ontario,2020-04-13,0.06805510003279763
Quebec,2020-04-13,0.10304020673405792
Newfoundland and Labrador,2020-04-13,0.04982642434143353
New Brunswick,2020-04-13,0.014492753623188406
Nova Scotia,2020-04-13,0.02864394488759971
Prince Edward Island,2020-04-13,0.014577259475218658
Yukon,2020-04-13,0.009615384615384616
Northwest Territories,2020-04-13,0.0035971223021582736
Nunavut,2020-04-13,0.0
British Columbia,2020-04-14,0.030258906131567398
Alberta,2020-04-14,0.023464458247066944
Saskatchewan,2020-04-14,0.015481946301820801
Manitoba,2020-04-14,0.013828770588565967
Ontario,2020-04-14,0.06904305098577121
Quebec,2020-04-14,0.10365875839390037
Newfoundland and Labrador,2020-04-14,0.04543761638733706
New Brunswick,2020-04-14,0.014096488030137319
Nova Scotia,2020-04-14,0.0295817359958803
Prince Edward Island,2020-04-14,0.014577259475218658
Yukon,2020-04-14,0.009580838323353293
Northwest Territories,2020-04-14,0.003589375448671931
Nunavut,2020-04-14,0.0
British Columbia,2020-04-15,0.030948887743368094
Alberta,2020-04-15,0.02504548591505113
Saskatchewan,2020-04-15,0.01519012641782841
Manitoba,2020-04-15,0.013828770588565967
Ontario,2020-04-15,0.07028506764740144
Quebec,2020-04-15,0.1037897942363837
Newfoundland and Labrador,2020-04-15,0.04789606360286989
New Brunswick,2020-04-15,0.013488586580585658
Nova Scotia,2020-04-15,0.030090435735818034
Prince Edward Island,2020-04-15,0.013955984970477724
Yukon,2020-04-15,0.009512485136741973
Northwest Territories,2020-04-15,0.0035688793718772305
Nunavut,2020-04-15,0.0
British Columbia,2020-04-16,0.030430629471509055
Alberta,2020-04-16,0.02523917569179668
Saskatchewan,2020-04-16,0.014783578110610247
Manitoba,2020-04-16,0.013647778141718529
Ontario,2020-04-16,0.07151122425364499
Quebec,2020-04-16,0.10673011556764106
Newfoundland and Labrador,2020-04-16,0.047502356267672005
New Brunswick,2020-04-16,0.013079932923420905
Nova Scotia,2020-04-16,0.03009511928894433
Prince Edward Island,2020-04-16,0.013360739979445015
Yukon,2020-04-16,0.009422850412249705
Northwest Territories,2020-04-16,0.0034770514603616135
Nunavut,2020-04-16,0.0
British Columbia,2020-04-17,0.030069876665775708
Alberta,2020-04-17,0.02688907834514942
Saskatchewan,2020-04-17,0.014472939845370545
Manitoba,2020-04-17,0.013287977038375677
Ontario,2020-04-17,0.07208645834121681
Quebec,2020-04-17,0.109275185074355
Newfoundland and Labrador,2020-04-17,0.045845272206303724
New Brunswick,2020-04-17,0.012081784386617101
Nova Scotia,2020-04-17,0.02965935787000783
Prince Edward Island,2020-04-17,0.012916045702930949
Yukon,2020-04-17,0.01056338028169014
Northwest Territories,2020-04-17,0.0034554250172771253
Nunavut,2020-04-17,0.0
British Columbia,2020-04-18,0.03020403591629487
Alberta,2020-04-18,0.027559648028226587
Saskatchewan,2020-04-18,0.014229213074510161
Manitoba,2020-04-18,0.013033175355450236
Ontario,2020-04-18,0.07178303023349206
Quebec,2020-04-18,0.11035460099515022
Newfoundland and Labrador,2020-04-18,0.04378194207836456
New Brunswick,2020-04-18,0.011849769029925688
Nova Scotia,2020-04-18,0.03037962832935449
Prince Edward Island,2020-04-18,0.012464046021093002
Yukon,2020-04-18,0.010477299185098952
Northwest Territories,2020-04-18,0.003427004797806717
Nunavut,2020-04-18,0.0
British Columbia,2020-04-19,0.02953740552776662
Alberta,2020-04-19,0.026363449269396995
Saskatchewan,2020-04-19,0.013840678412935542
Manitoba,2020-04-19,0.012885810329021086
Ontario,2020-04-19,0.07142181950764992
Quebec,2020-04-19,0.11224227749651479
Newfoundland and Labrador,2020-04-19,0.04193864229765013
New Brunswick,2020-04-19,0.011467444120505346
Nova Scotia,2020-04-19,0.030641427209587364
Prince Edward Island,2020-04-19,0.011612326931665922
Yukon,2020-04-19,0.010250569476082005
Northwest Territories,2020-04-19,0.0033875338753387536
Nunavut,2020-04-19,0.0
British Columbia,2020-04-20,0.03045949192348375
Alberta,2020-04-20,0.02882118575194751
