"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-05","Canada","2016A000011124","Calgary/Springbank, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858956","1.5.3.1","0","","","","0"
"2020-06","Canada","2016A000011124","Calgary/Springbank, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858956","1.5.3.1","0","","","","0"
"2020-01","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Domestic movements","Total itinerant movements","Number","223","units","0","v32858963","1.6.1.1","860","","","","0"
"2020-02","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Domestic movements","Total itinerant movements","Number","223","units","0","v32858963","1.6.1.1","2120","","","","0"
"2020-03","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Domestic movements","Total itinerant movements","Number","223","units","0","v32858963","1.6.1.1","1618","","","","0"
"2020-04","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Domestic movements","Total itinerant movements","Number","223","units","0","v32858963","1.6.1.1","411","","","","0"
"2020-05","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Domestic movements","Total itinerant movements","Number","223","units","0","v32858963","1.6.1.1","1686","","","","0"
"2020-06","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Domestic movements","Total itinerant movements","Number","223","units","0","v32858963","1.6.1.1","3621","","","","0"
"2020-01","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Transborder movements","Total itinerant movements","Number","223","units","0","v32858970","1.6.2.1","0","","","","0"
"2020-02","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Transborder movements","Total itinerant movements","Number","223","units","0","v32858970","1.6.2.1","0","","","","0"
"2020-03","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Transborder movements","Total itinerant movements","Number","223","units","0","v32858970","1.6.2.1","0","","","","0"
"2020-04","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Transborder movements","Total itinerant movements","Number","223","units","0","v32858970","1.6.2.1","0","","","","0"
"2020-05","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Transborder movements","Total itinerant movements","Number","223","units","0","v32858970","1.6.2.1","0","","","","0"
"2020-06","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Transborder movements","Total itinerant movements","Number","223","units","0","v32858970","1.6.2.1","0","","","","0"
"2020-01","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Other international movements","Total itinerant movements","Number","223","units","0","v32858977","1.6.3.1","0","","","","0"
"2020-02","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Other international movements","Total itinerant movements","Number","223","units","0","v32858977","1.6.3.1","0","","","","0"
"2020-03","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Other international movements","Total itinerant movements","Number","223","units","0","v32858977","1.6.3.1","0","","","","0"
"2020-04","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Other international movements","Total itinerant movements","Number","223","units","0","v32858977","1.6.3.1","0","","","","0"
"2020-05","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Other international movements","Total itinerant movements","Number","223","units","0","v32858977","1.6.3.1","0","","","","0"
"2020-06","Canada","2016A000011124","Chicoutimi/St-Honoré, Quebec","Other international movements","Total itinerant movements","Number","223","units","0","v32858977","1.6.3.1","0","","","","0"
"2020-01","Canada","2016A000011124","Edmonton International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859005","1.8.1.1","8956","","","","0"
"2020-02","Canada","2016A000011124","Edmonton International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859005","1.8.1.1","8363","","","","0"
"2020-03","Canada","2016A000011124","Edmonton International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859005","1.8.1.1","7129","","","","0"
"2020-04","Canada","2016A000011124","Edmonton International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859005","1.8.1.1","3168","","","","0"
"2020-05","Canada","2016A000011124","Edmonton International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859005","1.8.1.1","3397","","","","0"
"2020-06","Canada","2016A000011124","Edmonton International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859005","1.8.1.1","4132","","","","0"
"2020-01","Canada","2016A000011124","Edmonton International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859012","1.8.2.1","979","","","","0"
"2020-02","Canada","2016A000011124","Edmonton International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859012","1.8.2.1","938","","","","0"
"2020-03","Canada","2016A000011124","Edmonton International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859012","1.8.2.1","837","","","","0"
"2020-04","Canada","2016A000011124","Edmonton International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859012","1.8.2.1","115","","","","0"
"2020-05","Canada","2016A000011124","Edmonton International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859012","1.8.2.1","142","","","","0"
"2020-06","Canada","2016A000011124","Edmonton International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859012","1.8.2.1","119","","","","0"
"2020-01","Canada","2016A000011124","Edmonton International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859019","1.8.3.1","382","","","","0"
"2020-02","Canada","2016A000011124","Edmonton International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859019","1.8.3.1","347","","","","0"
"2020-03","Canada","2016A000011124","Edmonton International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859019","1.8.3.1","268","","","","0"
"2020-04","Canada","2016A000011124","Edmonton International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859019","1.8.3.1","8","","","","0"
"2020-05","Canada","2016A000011124","Edmonton International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859019","1.8.3.1","22","","","","0"
"2020-06","Canada","2016A000011124","Edmonton International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32859019","1.8.3.1","35","","","","0"
"2020-01","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859026","1.9.1.1","1663","","","","0"
"2020-02","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859026","1.9.1.1","2133","","","","0"
"2020-03","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859026","1.9.1.1","1338","","","","0"
"2020-04","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859026","1.9.1.1","1001","","","","0"
"2020-05","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859026","1.9.1.1","1297","","","","0"
"2020-06","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32859026","1.9.1.1","1860","","","","0"
"2020-01","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859033","1.9.2.1","5","","","","0"
"2020-02","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859033","1.9.2.1","2","","","","0"
"2020-03","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859033","1.9.2.1","2","","","","0"
"2020-04","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859033","1.9.2.1","0","","","","0"
"2020-05","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859033","1.9.2.1","1","","","","0"
"2020-06","Canada","2016A000011124","Edmonton/Villeneuve, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32859033","1.9.2.1","0","","","","0"
